Task,gemma-4-31b-it
01698463.json,"Total: 12214 (Prompt: 1894, Resposta: 1278, Pensamento: 9042)"
016cdee0.json,"Total: 11832 (Prompt: 4200, Resposta: 1973, Pensamento: 5659)"
02879404.json,"Total: 8274 (Prompt: 2457, Resposta: 1217, Pensamento: 4600)"
065108e7.json,"Total: 12381 (Prompt: 3451, Resposta: 1559, Pensamento: 7371)"
0840a35f.json,"Total: 34001 (Prompt: 17513, Resposta: 107, Pensamento: 16381)"
0ac8ac11.json,"Total: 7215 (Prompt: 1779, Resposta: 921, Pensamento: 4515)"
0ce55d2b.json,"Total: 12234 (Prompt: 2923, Resposta: 1489, Pensamento: 7822)"
0c315230.json,"Total: 18391 (Prompt: 1753, Resposta: 977, Pensamento: 15661)"
12183ad6.json,"Total: 14383 (Prompt: 4693, Resposta: 1074, Pensamento: 8616)"
1759154f.json,"Total: 7431 (Prompt: 1859, Resposta: 1199, Pensamento: 4373)"
1d3e8765.json,"Total: 12624 (Prompt: 1459, Resposta: 649, Pensamento: 10516)"
1dfa8184.json,"Total: 13659 (Prompt: 3637, Resposta: 2086, Pensamento: 7936)"
1f4376ba.json,"Total: 10035 (Prompt: 1744, Resposta: 974, Pensamento: 7317)"
26871f8c.json,"Total: 7182 (Prompt: 2299, Resposta: 1282, Pensamento: 3601)"
26073685.json,"Total: 9208 (Prompt: 2386, Resposta: 1359, Pensamento: 5463)"
27004abf.json,"Total: 2900 (Prompt: 904, Resposta: 591, Pensamento: 1405)"
279afbc0.json,"Total: 13104 (Prompt: 3746, Resposta: 1637, Pensamento: 7721)"
27fdb69e.json,"Total: 6085 (Prompt: 2113, Resposta: 1178, Pensamento: 2794)"
298ad750.json,"Total: 8229 (Prompt: 2184, Resposta: 795, Pensamento: 5250)"
2f33ea3c.json,"Total: 2148 (Prompt: 831, Resposta: 401, Pensamento: 916)"
30654559.json,"Total: 5031 (Prompt: 1342, Resposta: 898, Pensamento: 2791)"
333eeb10.json,"Total: 16316 (Prompt: 2394, Resposta: 956, Pensamento: 12966)"
33c502e7.json,"Total: 16543 (Prompt: 2656, Resposta: 1291, Pensamento: 12596)"
35f2856d.json,"Total: 7252 (Prompt: 2110, Resposta: 977, Pensamento: 4165)"
39084080.json,"Total: 19138 (Prompt: 5950, Resposta: 1617, Pensamento: 11571)"
39d0b1c0.json,"Total: 10275 (Prompt: 1346, Resposta: 829, Pensamento: 8100)"
3cefc7a8.json,"Total: 18069 (Prompt: 2389, Resposta: 1616, Pensamento: 14064)"
3e8aa4f8.json,"Total: 6774 (Prompt: 1633, Resposta: 1041, Pensamento: 4100)"
40e4dbe8.json,"Total: 8526 (Prompt: 1800, Resposta: 1208, Pensamento: 5518)"
3f163f06.json,"Total: 18276 (Prompt: 3380, Resposta: 1550, Pensamento: 13346)"
423950e7.json,"Total: 11393 (Prompt: 1962, Resposta: 1401, Pensamento: 8030)"
42707d72.json,"Total: 8947 (Prompt: 1485, Resposta: 944, Pensamento: 6518)"
42b19113.json,"Total: 5757 (Prompt: 1287, Resposta: 860, Pensamento: 3610)"
43eca892.json,"Total: 7274 (Prompt: 2358, Resposta: 613, Pensamento: 4303)"
43343337.json,"Total: 11640 (Prompt: 2637, Resposta: 1107, Pensamento: 7896)"
46b0470d.json,"Total: 14035 (Prompt: 5737, Resposta: 2319, Pensamento: 5979)"
47e179ef.json,"Total: 16485 (Prompt: 2616, Resposta: 1213, Pensamento: 12656)"
48c36203.json,"Total: 4770 (Prompt: 1167, Resposta: 798, Pensamento: 2805)"
49fe3175.json,"Total: 5694 (Prompt: 1348, Resposta: 970, Pensamento: 3376)"
4c2c57cc.json,"Total: 3372 (Prompt: 914, Resposta: 491, Pensamento: 1967)"
4d4e8ee1.json,"Total: 7640 (Prompt: 1584, Resposta: 897, Pensamento: 5159)"
510bd7f3.json,"Total: 12600 (Prompt: 2794, Resposta: 1359, Pensamento: 8447)"
5208ebb6.json,"Total: 8645 (Prompt: 1558, Resposta: 1104, Pensamento: 5983)"
529aa2b6.json,"Total: 13571 (Prompt: 2811, Resposta: 1516, Pensamento: 9244)"
53d0b4eb.json,"Total: 10540 (Prompt: 2310, Resposta: 1299, Pensamento: 6931)"
553e6fa8.json,"Total: 13261 (Prompt: 2436, Resposta: 1713, Pensamento: 9112)"
56d298af.json,"Total: 6046 (Prompt: 1395, Resposta: 959, Pensamento: 3692)"
5ae30cdc.json,"Total: 8171 (Prompt: 1546, Resposta: 1165, Pensamento: 5460)"
5b226720.json,"Total: 7313 (Prompt: 1406, Resposta: 1065, Pensamento: 4842)"
5b16183e.json,"Total: 13284 (Prompt: 3642, Resposta: 1290, Pensamento: 8352)"
5bed5c90.json,"Total: 12763 (Prompt: 5647, Resposta: 1563, Pensamento: 5553)"
5c389d56.json,"Total: 9646 (Prompt: 1248, Resposta: 873, Pensamento: 7525)"
5f48c387.json,"Total: 13236 (Prompt: 5301, Resposta: 825, Pensamento: 7110)"
5f5dd8c1.json,"Total: 10615 (Prompt: 1899, Resposta: 1260, Pensamento: 7456)"
623c4969.json,"Total: 7984 (Prompt: 2445, Resposta: 1005, Pensamento: 4534)"
63a29bef.json,"Total: 8623 (Prompt: 2296, Resposta: 1273, Pensamento: 5054)"
