Task,gemma-4-31b-it
01698463.json,"Total: 292.05s (Raciocínio: 285.20s, Formatação: 6.85s)"
016cdee0.json,"Total: 218.31s (Raciocínio: 200.10s, Formatação: 18.21s)"
02879404.json,"Total: 165.65s (Raciocínio: 158.90s, Formatação: 6.74s)"
065108e7.json,"Total: 251.02s (Raciocínio: 235.19s, Formatação: 15.83s)"
0840a35f.json,"Total: 461.62s (Raciocínio: 457.09s, Formatação: 4.53s)"
0ac8ac11.json,"Total: 152.96s (Raciocínio: 145.99s, Formatação: 6.98s)"
0ce55d2b.json,"Total: 265.44s (Raciocínio: 253.89s, Formatação: 11.56s)"
0c315230.json,"Total: 661.06s (Raciocínio: 653.08s, Formatação: 7.99s)"
12183ad6.json,"Total: 270.68s (Raciocínio: 263.29s, Formatação: 7.38s)"
1759154f.json,"Total: 157.68s (Raciocínio: 149.03s, Formatação: 8.65s)"
1d3e8765.json,"Total: 308.37s (Raciocínio: 305.92s, Formatação: 2.45s)"
1dfa8184.json,"Total: 279.94s (Raciocínio: 267.64s, Formatação: 12.30s)"
1f4376ba.json,"Total: 357.93s (Raciocínio: 313.81s, Formatação: 44.12s)"
26871f8c.json,"Total: 137.41s (Raciocínio: 127.18s, Formatação: 10.22s)"
26073685.json,"Total: 212.94s (Raciocínio: 205.32s, Formatação: 7.61s)"
27004abf.json,"Total: 57.61s (Raciocínio: 53.91s, Formatação: 3.70s)"
279afbc0.json,"Total: 259.18s (Raciocínio: 246.75s, Formatação: 12.43s)"
27fdb69e.json,"Total: 114.92s (Raciocínio: 106.18s, Formatação: 8.73s)"
298ad750.json,"Total: 170.27s (Raciocínio: 167.41s, Formatação: 2.86s)"
2f33ea3c.json,"Total: 38.40s (Raciocínio: 35.86s, Formatação: 2.53s)"
30654559.json,"Total: 104.75s (Raciocínio: 101.62s, Formatação: 3.14s)"
333eeb10.json,"Total: 388.92s (Raciocínio: 381.42s, Formatação: 7.50s)"
33c502e7.json,"Total: 387.89s (Raciocínio: 378.06s, Formatação: 9.83s)"
35f2856d.json,"Total: 144.06s (Raciocínio: 136.35s, Formatação: 7.71s)"
39084080.json,"Total: 369.95s (Raciocínio: 352.41s, Formatação: 17.55s)"
39d0b1c0.json,"Total: 546.63s (Raciocínio: 541.72s, Formatação: 4.91s)"
3cefc7a8.json,"Total: 441.28s (Raciocínio: 434.11s, Formatação: 7.17s)"
3e8aa4f8.json,"Total: 146.71s (Raciocínio: 144.31s, Formatação: 2.41s)"
40e4dbe8.json,"Total: 189.18s (Raciocínio: 181.47s, Formatação: 7.71s)"
3f163f06.json,"Total: 414.69s (Raciocínio: 402.09s, Formatação: 12.60s)"
423950e7.json,"Total: 263.82s (Raciocínio: 256.44s, Formatação: 7.38s)"
42707d72.json,"Total: 219.03s (Raciocínio: 203.85s, Formatação: 15.18s)"
42b19113.json,"Total: 159.18s (Raciocínio: 154.45s, Formatação: 4.73s)"
43eca892.json,"Total: 138.02s (Raciocínio: 134.87s, Formatação: 3.15s)"
43343337.json,"Total: 257.15s (Raciocínio: 243.83s, Formatação: 13.32s)"
46b0470d.json,"Total: 235.57s (Raciocínio: 210.65s, Formatação: 24.92s)"
47e179ef.json,"Total: 387.54s (Raciocínio: 379.05s, Formatação: 8.48s)"
48c36203.json,"Total: 101.24s (Raciocínio: 98.10s, Formatação: 3.14s)"
49fe3175.json,"Total: 122.13s (Raciocínio: 114.61s, Formatação: 7.52s)"
4c2c57cc.json,"Total: 69.94s (Raciocínio: 65.66s, Formatação: 4.28s)"
4d4e8ee1.json,"Total: 169.63s (Raciocínio: 166.29s, Formatação: 3.33s)"
510bd7f3.json,"Total: 291.63s (Raciocínio: 265.91s, Formatação: 25.71s)"
5208ebb6.json,"Total: 199.39s (Raciocínio: 195.74s, Formatação: 3.65s)"
529aa2b6.json,"Total: 315.28s (Raciocínio: 291.49s, Formatação: 23.80s)"
53d0b4eb.json,"Total: 230.18s (Raciocínio: 222.03s, Formatação: 8.16s)"
553e6fa8.json,"Total: 304.63s (Raciocínio: 287.20s, Formatação: 17.43s)"
56d298af.json,"Total: 130.27s (Raciocínio: 123.53s, Formatação: 6.74s)"
5ae30cdc.json,"Total: 236.51s (Raciocínio: 231.17s, Formatação: 5.33s)"
5b226720.json,"Total: 170.89s (Raciocínio: 167.07s, Formatação: 3.82s)"
5b16183e.json,"Total: 271.97s (Raciocínio: 261.38s, Formatação: 10.58s)"
5bed5c90.json,"Total: 199.20s (Raciocínio: 185.39s, Formatação: 13.82s)"
5c389d56.json,"Total: 233.87s (Raciocínio: 229.12s, Formatação: 4.75s)"
5f48c387.json,"Total: 223.21s (Raciocínio: 220.16s, Formatação: 3.05s)"
5f5dd8c1.json,"Total: 244.71s (Raciocínio: 237.07s, Formatação: 7.64s)"
623c4969.json,"Total: 159.41s (Raciocínio: 151.90s, Formatação: 7.52s)"
63a29bef.json,"Total: 185.75s (Raciocínio: 171.70s, Formatação: 14.05s)"
67a99293.json,"Total: 314.02s (Raciocínio: 310.25s, Formatação: 3.77s)"
688e2203.json,"Total: 172.91s (Raciocínio: 167.78s, Formatação: 5.13s)"
6c5e4a9e.json,"Total: 180.99s (Raciocínio: 178.06s, Formatação: 2.93s)"
6cde2a05.json,"Total: 213.33s (Raciocínio: 210.20s, Formatação: 3.13s)"
6fbbfb54.json,"Total: 312.39s (Raciocínio: 302.50s, Formatação: 9.89s)"
722ffc5e.json,"Total: 189.52s (Raciocínio: 186.17s, Formatação: 3.34s)"
73e04752.json,"Total: 273.42s (Raciocínio: 264.40s, Formatação: 9.02s)"
72e235a3.json,"Total: 468.76s (Raciocínio: 458.08s, Formatação: 10.68s)"
754b7d3e.json,"Total: 295.93s (Raciocínio: 287.41s, Formatação: 8.52s)"
7849f121.json,"Total: 199.91s (Raciocínio: 188.52s, Formatação: 11.40s)"
7b8e6f1a.json,"Total: 472.83s (Raciocínio: 465.19s, Formatação: 7.65s)"
7bef9340.json,"Total: 230.49s (Raciocínio: 221.80s, Formatação: 8.70s)"
7bcc5bb7.json,"Total: 452.98s (Raciocínio: 438.43s, Formatação: 14.55s)"
7c65ff97.json,"Total: 308.17s (Raciocínio: 282.91s, Formatação: 25.26s)"
8329677f.json,"Total: 108.73s (Raciocínio: 106.49s, Formatação: 2.24s)"
836f9e4c.json,"Total: 315.36s (Raciocínio: 284.93s, Formatação: 30.43s)"
85009099.json,"Total: 267.55s (Raciocínio: 261.91s, Formatação: 5.64s)"
8117ac09.json,"Total: 611.65s (Raciocínio: 591.92s, Formatação: 19.72s)"
87e1d98b.json,"Total: 219.26s (Raciocínio: 213.56s, Formatação: 5.69s)"
8810db6c.json,"Total: 124.60s (Raciocínio: 121.12s, Formatação: 3.48s)"
88438166.json,"Total: 116.07s (Raciocínio: 112.44s, Formatação: 3.63s)"
8ac35d4b.json,"Total: 256.99s (Raciocínio: 251.00s, Formatação: 5.99s)"
8c3d4c70.json,"Total: 224.32s (Raciocínio: 218.40s, Formatação: 5.92s)"
8bb3a4ef.json,"Total: 305.35s (Raciocínio: 265.17s, Formatação: 40.18s)"
8e235455.json,"Total: 317.95s (Raciocínio: 255.57s, Formatação: 62.38s)"
8f2c33d1.json,"Total: 363.67s (Raciocínio: 354.08s, Formatação: 9.59s)"
91776f44.json,"Total: 288.00s (Raciocínio: 233.31s, Formatação: 54.68s)"
94cc385c.json,"Total: 152.89s (Raciocínio: 147.07s, Formatação: 5.81s)"
9a48d6ac.json,"Total: 245.27s (Raciocínio: 234.60s, Formatação: 10.67s)"
9dece29e.json,"Total: 386.43s (Raciocínio: 337.18s, Formatação: 49.25s)"
a0aaab36.json,"Total: 251.60s (Raciocínio: 201.36s, Formatação: 50.24s)"
9f13dc33.json,"Total: 226.51s (Raciocínio: 150.93s, Formatação: 75.58s)"
a1820007.json,"Total: 409.46s (Raciocínio: 360.69s, Formatação: 48.77s)"
a238c4ca.json,"Total: 412.63s (Raciocínio: 345.08s, Formatação: 67.55s)"
a516753e.json,"Total: 340.07s (Raciocínio: 335.92s, Formatação: 4.15s)"
a5c3aac9.json,"Total: 221.48s (Raciocínio: 217.79s, Formatação: 3.68s)"
a6573ecc.json,"Total: 126.82s (Raciocínio: 102.34s, Formatação: 24.48s)"
a8c48179.json,"Total: 172.51s (Raciocínio: 160.05s, Formatação: 12.46s)"
a8f4f583.json,"Total: 106.33s (Raciocínio: 95.46s, Formatação: 10.87s)"
a8eb2cb1.json,"Total: 170.30s (Raciocínio: 166.30s, Formatação: 4.00s)"
a9f8e247.json,"Total: 420.42s (Raciocínio: 417.20s, Formatação: 3.22s)"
abd5805d.json,"Total: 151.77s (Raciocínio: 122.82s, Formatação: 28.95s)"
ad69538d.json,"Total: 575.58s (Raciocínio: 534.45s, Formatação: 41.12s)"
b1440cca.json,"Total: 320.18s (Raciocínio: 271.14s, Formatação: 49.05s)"
b17d4953.json,"Total: 416.58s (Raciocínio: 402.80s, Formatação: 13.77s)"
b6721d31.json,"Total: 82.21s (Raciocínio: 54.87s, Formatação: 27.34s)"
b921f18f.json,"Total: 47.57s (Raciocínio: 45.30s, Formatação: 2.26s)"
ba1afd54.json,"Total: 180.57s (Raciocínio: 173.87s, Formatação: 6.70s)"
bd64c208.json,"Total: 238.69s (Raciocínio: 234.45s, Formatação: 4.24s)"
be961761.json,"Total: 141.31s (Raciocínio: 138.82s, Formatação: 2.49s)"
c4611346.json,"Total: 189.53s (Raciocínio: 181.28s, Formatação: 8.26s)"
c55bdd81.json,"Total: 257.08s (Raciocínio: 248.55s, Formatação: 8.53s)"
c8aeda0d.json,"Total: 379.42s (Raciocínio: 376.40s, Formatação: 3.01s)"
ca3ccfbb.json,"Total: 390.41s (Raciocínio: 372.07s, Formatação: 18.34s)"
cd192b87.json,"Total: 229.52s (Raciocínio: 221.49s, Formatação: 8.03s)"
ccce7522.json,"Total: 420.00s (Raciocínio: 389.87s, Formatação: 30.12s)"
cda33902.json,"Total: 213.39s (Raciocínio: 209.96s, Formatação: 3.43s)"
cf971de1.json,"Total: 229.45s (Raciocínio: 221.96s, Formatação: 7.50s)"
d0156500.json,"Total: 203.77s (Raciocínio: 199.24s, Formatação: 4.54s)"
d04c4832.json,"Total: 262.54s (Raciocínio: 240.62s, Formatação: 21.92s)"
d1b7f163.json,"Total: 133.70s (Raciocínio: 130.31s, Formatação: 3.39s)"
d0a368d6.json,"Total: 100.04s (Raciocínio: 97.41s, Formatação: 2.63s)"
d20a013f.json,"Total: 60.98s (Raciocínio: 58.25s, Formatação: 2.73s)"
d21eef17.json,"Total: 185.30s (Raciocínio: 177.65s, Formatação: 7.65s)"
d2797118.json,"Total: 79.34s (Raciocínio: 76.42s, Formatação: 2.91s)"
d25adae1.json,"Total: 294.37s (Raciocínio: 277.17s, Formatação: 17.19s)"
d3c48424.json,"Total: 223.02s (Raciocínio: 213.95s, Formatação: 9.07s)"
d3ce7635.json,"Total: 161.88s (Raciocínio: 157.36s, Formatação: 4.52s)"
d5396c32.json,"Total: 269.93s (Raciocínio: 254.78s, Formatação: 15.16s)"
d6d172f7.json,"Total: 261.31s (Raciocínio: 253.76s, Formatação: 7.54s)"
d724ca3e.json,"Total: 172.04s (Raciocínio: 165.31s, Formatação: 6.72s)"
db3fc42e.json,"Total: 188.17s (Raciocínio: 183.92s, Formatação: 4.26s)"
debbd9d1.json,"Total: 339.40s (Raciocínio: 324.33s, Formatação: 15.07s)"
df8d9e65.json,"Total: 426.81s (Raciocínio: 423.34s, Formatação: 3.48s)"
e1ee0732.json,"Total: 205.17s (Raciocínio: 198.63s, Formatação: 6.54s)"
e2a6ddcb.json,"Total: 386.46s (Raciocínio: 379.39s, Formatação: 7.08s)"
e515742e.json,"Total: 84.51s (Raciocínio: 82.03s, Formatação: 2.47s)"
e87c9595.json,"Total: 324.05s (Raciocínio: 305.38s, Formatação: 18.66s)"
ea44d147.json,"Total: 166.93s (Raciocínio: 163.36s, Formatação: 3.57s)"
e8cba7a1.json,"Total: 238.45s (Raciocínio: 234.81s, Formatação: 3.64s)"
ea9b9c5f.json,"Total: 188.32s (Raciocínio: 171.17s, Formatação: 17.15s)"
eb416059.json,"Total: 163.71s (Raciocínio: 155.87s, Formatação: 7.84s)"
ee3156e6.json,"Total: 189.31s (Raciocínio: 186.94s, Formatação: 2.37s)"
f24bab4c.json,"Total: 157.62s (Raciocínio: 150.91s, Formatação: 6.71s)"
f36fb5ec.json,"Total: 229.79s (Raciocínio: 221.61s, Formatação: 8.18s)"
f4c10abe.json,"Total: 256.52s (Raciocínio: 241.27s, Formatação: 15.24s)"
f3c32c50.json,"Total: 456.85s (Raciocínio: 441.09s, Formatação: 15.77s)"
f8c9d426.json,"Total: 122.78s (Raciocínio: 117.68s, Formatação: 5.10s)"
fa0b403d.json,"Total: 159.23s (Raciocínio: 151.38s, Formatação: 7.85s)"
fa8e024f.json,"Total: 226.25s (Raciocínio: 211.14s, Formatação: 15.11s)"
feeb24c3.json,"Total: 166.65s (Raciocínio: 156.57s, Formatação: 10.08s)"
ff32daf7.json,"Total: 265.33s (Raciocínio: 253.79s, Formatação: 11.54s)"
0519f17e.json,"Total: 114.00s (Raciocínio: 111.03s, Formatação: 2.97s)"
0bf9dd95.json,"Total: 238.50s (Raciocínio: 214.95s, Formatação: 23.55s)"
