Task,gemma-4-31b-it
02c34d94.json,"Total: 11303 (Prompt: 2650, Resposta: 1324, Pensamento: 7329)"
00138e4f.json,"Total: 21762 (Prompt: 10021, Resposta: 3975, Pensamento: 7766)"
013b2efb.json,"Total: 18784 (Prompt: 2500, Resposta: 1499, Pensamento: 14785)"
068349d7.json,"Total: 14679 (Prompt: 3340, Resposta: 969, Pensamento: 10370)"
06d0eecf.json,"Total: 35572 (Prompt: 18849, Resposta: 342, Pensamento: 16381)"
0acf2e2c.json,"Total: 15064 (Prompt: 3250, Resposta: 1304, Pensamento: 10510)"
1177e4e1.json,"Total: 10274 (Prompt: 2393, Resposta: 1089, Pensamento: 6792)"
132626ff.json,"Total: 7816 (Prompt: 1675, Resposta: 845, Pensamento: 5296)"
16264fb9.json,"Total: 5223 (Prompt: 829, Resposta: 409, Pensamento: 3985)"
19a630b4.json,"Total: 13732 (Prompt: 3191, Resposta: 1201, Pensamento: 9340)"
1ce6f377.json,"Total: 4602 (Prompt: 1276, Resposta: 886, Pensamento: 2440)"
20bcd162.json,"Total: 2828 (Prompt: 868, Resposta: 519, Pensamento: 1441)"
25087915.json,"Total: 9144 (Prompt: 1836, Resposta: 1233, Pensamento: 6075)"
27906204.json,"Total: 7922 (Prompt: 1995, Resposta: 1154, Pensamento: 4773)"
2d296aa2.json,"Total: 13083 (Prompt: 4153, Resposta: 1459, Pensamento: 7471)"
2f31aeb7.json,"Total: 15352 (Prompt: 1715, Resposta: 1129, Pensamento: 12508)"
3444e487.json,"Total: 4844 (Prompt: 1288, Resposta: 848, Pensamento: 2708)"
36d140bc.json,"Total: 10438 (Prompt: 2368, Resposta: 1348, Pensamento: 6722)"
3b63bce7.json,"Total: 9595 (Prompt: 2235, Resposta: 1275, Pensamento: 6085)"
3bc79aa5.json,"Total: 11987 (Prompt: 5120, Resposta: 1884, Pensamento: 4983)"
4144165a.json,"Total: 9491 (Prompt: 3917, Resposta: 1698, Pensamento: 3876)"
41a47a51.json,"Total: 9229 (Prompt: 1931, Resposta: 1092, Pensamento: 6206)"
43301109.json,"Total: 7609 (Prompt: 1448, Resposta: 987, Pensamento: 5174)"
46445496.json,"Total: 4081 (Prompt: 912, Resposta: 591, Pensamento: 2578)"
16cb4e27.json,"Total: 11687 (Prompt: 2964, Resposta: 1122, Pensamento: 7601)"
268419f7.json,"Total: 8158 (Prompt: 1252, Resposta: 806, Pensamento: 6100)"
4af08fa2.json,"Total: 11768 (Prompt: 1847, Resposta: 740, Pensamento: 9181)"
4d6e5092.json,"Total: 21371 (Prompt: 4408, Resposta: 2379, Pensamento: 14584)"
4eef72f2.json,"Total: 8650 (Prompt: 1582, Resposta: 866, Pensamento: 6202)"
50e8d698.json,"Total: 11414 (Prompt: 4770, Resposta: 1123, Pensamento: 5521)"
5497f03b.json,"Total: 11117 (Prompt: 1771, Resposta: 1148, Pensamento: 8198)"
579e60de.json,"Total: 3538 (Prompt: 1066, Resposta: 718, Pensamento: 1754)"
5b55fbd5.json,"Total: 11738 (Prompt: 2206, Resposta: 1199, Pensamento: 8333)"
5bd9f198.json,"Total: 10797 (Prompt: 2413, Resposta: 1415, Pensamento: 6969)"
6327725f.json,"Total: 11220 (Prompt: 2241, Resposta: 1216, Pensamento: 7763)"
64446dac.json,"Total: 8831 (Prompt: 1611, Resposta: 973, Pensamento: 6247)"
67ed9866.json,"Total: 18267 (Prompt: 5863, Resposta: 2623, Pensamento: 9781)"
6d7dd58a.json,"Total: 14156 (Prompt: 2357, Resposta: 1164, Pensamento: 10635)"
7207378b.json,"Total: 10166 (Prompt: 2852, Resposta: 850, Pensamento: 6464)"
7688fd95.json,"Total: 12294 (Prompt: 4164, Resposta: 1928, Pensamento: 6202)"
777db7a2.json,"Total: 11333 (Prompt: 2254, Resposta: 1716, Pensamento: 7363)"
7ccde831.json,"Total: 6514 (Prompt: 1288, Resposta: 814, Pensamento: 4412)"
7eb0babb.json,"Total: 5137 (Prompt: 1402, Resposta: 1023, Pensamento: 2712)"
8853a1f7.json,"Total: 10709 (Prompt: 4669, Resposta: 762, Pensamento: 5278)"
7979f8c0.json,"Total: 14114 (Prompt: 2721, Resposta: 1306, Pensamento: 10087)"
7a369a19.json,"Total: 10473 (Prompt: 1578, Resposta: 1122, Pensamento: 7773)"
9af21bf1.json,"Total: 9583 (Prompt: 2173, Resposta: 1270, Pensamento: 6140)"
a0f3df09.json,"Total: 5157 (Prompt: 1361, Resposta: 917, Pensamento: 2879)"
a12a956c.json,"Total: 8892 (Prompt: 1003, Resposta: 656, Pensamento: 7233)"
a311cab6.json,"Total: 13211 (Prompt: 3876, Resposta: 946, Pensamento: 8389)"
a4356802.json,"Total: 8100 (Prompt: 1924, Resposta: 1413, Pensamento: 4763)"
a5673df7.json,"Total: 15369 (Prompt: 2237, Resposta: 1582, Pensamento: 11550)"
a59d1b7c.json,"Total: 10667 (Prompt: 2546, Resposta: 1161, Pensamento: 6960)"
ae573dd4.json,"Total: 6480 (Prompt: 1730, Resposta: 1151, Pensamento: 3599)"
b0cde64a.json,"Total: 12589 (Prompt: 2631, Resposta: 1111, Pensamento: 8847)"
b3cbedb4.json,"Total: 16611 (Prompt: 4007, Resposta: 3455, Pensamento: 9149)"
b46628ad.json,"Total: 6340 (Prompt: 1371, Resposta: 776, Pensamento: 4193)"
aa783705.json,"Total: 17206 (Prompt: 781, Resposta: 116, Pensamento: 16309)"
b4ef2b81.json,"Total: 10406 (Prompt: 4350, Resposta: 1885, Pensamento: 4171)"
ba9aba9f.json,"Total: 11715 (Prompt: 1680, Resposta: 872, Pensamento: 9163)"
bab46d5e.json,"Total: 12600 (Prompt: 3642, Resposta: 1297, Pensamento: 7661)"
bd4fe572.json,"Total: 8362 (Prompt: 4519, Resposta: 754, Pensamento: 3089)"
bcda3e04.json,"Total: 17368 (Prompt: 4993, Resposta: 2391, Pensamento: 9984)"
bd1b92ba.json,"Total: 20502 (Prompt: 4905, Resposta: 1510, Pensamento: 14087)"
